texto,insulto,amenaza,rumores_difamatorios,comentarios_humillantes,lenguaje_discriminatorio,acoso_sexual,manipulacion_emocional,lenguaje_vulgar,acoso_general,redes_sociales,suicidio_autolesion
jajaja robó chica así pusiste darle paliza matón,False,False,False,False,False,False,False,False,True,False,False
itunes reproduciendo todas canciones antiguas solía escuchar secundaria,False,False,False,False,False,False,False,False,False,False,False
ravaviladfilm sabemos,False,False,False,False,False,False,False,False,False,False,False
deja gg piense mujeres necesitan competir atención hombres escuchado tema bey impecable dios httptcoinyoeskqs,False,False,False,False,False,False,False,False,False,False,False
quiero clase hoy simplemente condiciones hacerlo,False,False,False,False,False,False,False,False,False,False,False
odio despertarme mensajes texto basura pasa intentar convencer dulcemente chica gustes negros intentan intimidar perras hoy día,False,False,False,False,True,True,False,False,True,False,False
rt garyiq mkr adiós pajaritos,False,False,False,False,False,False,False,False,False,False,False
wetsprocket creo haber mencionado nunca directamente nombre usuario seguro seguirá gritando dogpile,False,False,False,False,False,False,False,False,False,False,False
gu kkkkkkkkkk pois é na hora da raiva nem penso em bullying,False,False,False,False,False,False,False,False,False,False,False
alanafraiz juzgo,False,False,False,False,False,False,False,False,False,False,False
sevilzadeh coranes pickthall shakir daewood arberry dicen mismo ninguno wahabí,False,False,False,False,False,False,False,False,False,False,False
ccunningham suficientemente intenso chico universitario,False,False,False,False,False,False,False,False,False,False,False
encanta ropa servicio aritzia vancouver desagrada espejos probadores problemasdelprimermundo,False,False,False,False,False,False,False,False,False,False,False
assiye si aceptas ninguna evidencia molestarte pedírmela,False,False,False,False,False,False,False,False,True,False,False
desanuvio opción twitter favorito gtgt bullying ltlt,False,False,False,False,False,False,False,False,False,False,False
van acosar hija si sigue actuando así secundaria mamá pobres hijas pinche madre acaban,False,False,False,False,False,False,False,True,True,False,False
si quedara encerrado dinero guardarías solo quiero saber seguridad juntos,False,False,False,False,False,False,False,False,False,False,False
yesallwomen preguntan pasaría si hombres acosan golpean matan mujeres pasaría si hermano pasaría si padre pasaría si amante,False,False,False,False,False,False,False,False,False,False,False
mitchmilesmurph,False,False,False,False,False,False,False,False,False,False,False
mujeres importa carajo thisistimramos actos caballerosidad den hombres mujeres esperen random notsexist,False,False,False,False,False,False,False,True,False,False,False
menos dejen tomar control cambia,False,False,False,False,False,False,False,False,False,False,False
oh oh ohhhh kat andre reked bam manú mkr,False,False,False,False,False,False,False,False,False,False,False
lianabrooks docfreeride entonces dinero efectivo hora gano twitter desaparecería,False,False,False,False,False,False,False,True,False,False,False
dylanw genial próxima vez mujer hable clasista enfoque quizá quiera descartarla completo,False,False,False,False,False,False,False,False,False,False,False
anuncio mm genera queja acoso televisión imagen thinkstock fuente proporcionado the advertisin httpbitlyrlvx,False,False,False,False,False,True,False,False,False,False,False
yesallwomen sorprende hombres piensan asesinato retribución justa haber sido rechazados cita,False,False,False,False,False,False,False,False,False,False,False
bourgeoisbit gracias roooobbb,False,False,False,False,False,False,False,False,False,False,False
disfrutando versión twofatcats brindis nocturno lucky mkr aaronandaaron auckland httpstcoeapdqvy,False,False,False,False,False,False,False,False,False,False,False
señor sálvame sentimientos heridos hombres tecnología cuyas ideas sido cuestionadas,False,False,False,False,False,False,False,False,False,False,False
tienda kebab bata clase,False,False,False,False,False,False,False,False,False,False,False
ir buscarnos dirección comercial real pronto podamos terminar papeleo obtener c temporal,False,False,False,False,False,False,False,False,False,False,False
dios da vergüenza ajena ver introducción mkr,False,False,False,False,False,False,False,False,False,False,False
escuelas nueva jersey leyes antibullying duras unidos páginas requisitos tablas clasificación httptcomadeob edchat edlaw,False,False,False,False,False,False,False,False,False,False,False
muchas cosas cambian después secundaria,False,False,False,False,False,False,False,False,False,False,False
squirtgg lmbo verdadera paciencia vocabulario bullying,False,False,False,False,False,False,False,False,False,False,False
nikkigobel hmm bien,False,False,False,False,False,False,False,False,False,False,False
diablo premios academia mejor gusto hombres blancos así seguiré disfrutando cosas gustan mierda,False,False,False,False,False,False,False,True,False,False,False
dónde coño oso peluche necesitas,False,False,False,False,False,False,False,False,False,False,False
inmunidad semana kat andre seguramente fracasarán estrepitosamente mkr,False,False,False,False,False,False,False,False,False,False,False
gracengdreamer quiero hermana lor kor bueno intimiden,False,False,False,False,False,False,False,False,False,False,False
oolon sabes única vez código tipo atribuido incorrectamente chica alguna vez p,False,False,False,False,False,False,False,False,False,False,False
